problem,method,dim,iterations,f_evluations,time,success
ARWHEAD,BFGS,5000,9,37,4.967348098754883,True
ARWHEAD,L-BFGS-5,5000,10,45,0.12082552909851074,True
ARWHEAD,L-BFGS-10,5000,9,37,0.0810403823852539,True
ARWHEAD,L-BFGS-20,5000,9,37,0.0764162540435791,True
ARWHEAD,CG,5000,4,49,0.10149741172790527,False
BROYDN7D,BFGS,1000,1073,5671,49.06253528594971,True
BROYDN7D,L-BFGS-5,1000,1815,13625,6.321217060089111,True
BROYDN7D,L-BFGS-10,1000,1801,13569,5.24072527885437,True
BROYDN7D,L-BFGS-20,1000,1226,8613,3.667600393295288,True
BROYDN7D,CG,1000,2196,3276,1.4704360961914062,True
CHNROSNB,BFGS,50,139,642,0.027887821197509766,True
CHNROSNB,L-BFGS-5,50,2033,22203,0.7507131099700928,True
CHNROSNB,L-BFGS-10,50,2041,21498,0.6312975883483887,True
CHNROSNB,L-BFGS-20,50,1335,13461,0.41030263900756836,True
CHNROSNB,CG,50,678,1006,0.06382536888122559,True
CLPLATEA,BFGS,992,134,408,5.1868650913238525,True
CLPLATEA,L-BFGS-5,992,333,1205,1.0255277156829834,True
CLPLATEA,L-BFGS-10,992,201,659,0.39844346046447754,True
CLPLATEA,L-BFGS-20,992,207,661,0.36046624183654785,True
CLPLATEA,CG,992,492,742,0.35840868949890137,True
CLPLATEB,BFGS,992,111,322,6.050251245498657,True
CLPLATEB,L-BFGS-5,992,252,737,0.7122249603271484,True
CLPLATEB,L-BFGS-10,992,169,513,0.31563711166381836,True
CLPLATEB,L-BFGS-20,992,146,432,0.2470412254333496,True
CLPLATEB,CG,992,295,457,0.23247504234313965,True
CVXBQP1,BFGS,1000,984,10460,40.43936514854431,True
CVXBQP1,L-BFGS-5,1000,10000,137642,17.949591159820557,False
CVXBQP1,L-BFGS-10,1000,10000,137156,17.54228401184082,False
CVXBQP1,L-BFGS-20,1000,10000,135984,17.886537790298462,False
CVXBQP1,CG,1000,2269,3451,0.5565505027770996,True
DECONVU,BFGS,51,82,294,0.03485894203186035,True
DECONVU,L-BFGS-5,51,10000,71794,5.815122842788696,False
DECONVU,L-BFGS-10,51,188,1162,0.09900259971618652,True
DECONVU,L-BFGS-20,51,2178,13866,1.3122074604034424,True
DECONVU,CG,51,288,484,0.0637352466583252,True
DIXMAANE1,BFGS,3000,253,510,77.16408967971802,True
DIXMAANE1,L-BFGS-5,3000,355,714,0.7922117710113525,True
DIXMAANE1,L-BFGS-10,3000,292,588,0.5410768985748291,True
DIXMAANE1,L-BFGS-20,3000,298,600,0.5190825462341309,True
DIXMAANE1,CG,3000,263,484,0.36656928062438965,True
DIXMAANF,BFGS,3000,290,586,72.71183657646179,True
DIXMAANF,L-BFGS-5,3000,346,697,0.9636635780334473,True
DIXMAANF,L-BFGS-10,3000,214,433,0.49654674530029297,True
DIXMAANF,L-BFGS-20,3000,319,643,0.7835109233856201,True
DIXMAANF,CG,3000,235,441,0.47699737548828125,True
DIXMAANG,BFGS,3000,557,1226,135.1691164970398,True
DIXMAANG,L-BFGS-5,3000,437,1080,1.3712027072906494,True
DIXMAANG,L-BFGS-10,3000,390,915,0.9674167633056641,True
DIXMAANG,L-BFGS-20,3000,294,731,0.8265056610107422,True
DIXMAANG,CG,3000,234,421,0.4433891773223877,True
DIXMAANH,BFGS,3000,477,969,118.40789556503296,True
DIXMAANH,L-BFGS-5,3000,349,705,0.8452677726745605,True
DIXMAANH,L-BFGS-10,3000,456,923,0.9694936275482178,True
DIXMAANH,L-BFGS-20,3000,447,908,0.9751987457275391,True
DIXMAANH,CG,3000,169,300,0.32581162452697754,True
DIXMAANI1,BFGS,3000,2545,5094,624.1385345458984,True
DIXMAANI1,L-BFGS-5,3000,1317,2638,2.13187313079834,True
DIXMAANI1,L-BFGS-10,3000,1986,3976,2.898918390274048,True
DIXMAANI1,L-BFGS-20,3000,2291,4586,3.640911817550659,True
DIXMAANI1,CG,3000,775,1420,0.9640531539916992,True
DIXMAANJ,BFGS,3000,330,665,84.79365730285645,True
DIXMAANJ,L-BFGS-5,3000,363,731,0.9021179676055908,True
DIXMAANJ,L-BFGS-10,3000,365,735,0.7591781616210938,True
DIXMAANJ,L-BFGS-20,3000,357,719,0.7555773258209229,True
DIXMAANJ,CG,3000,129,230,0.2143232822418213,True
DIXMAANK,BFGS,3000,2220,4541,551.9850122928619,True
DIXMAANK,L-BFGS-5,3000,340,810,1.0389118194580078,True
DIXMAANK,L-BFGS-10,3000,382,881,0.955376386642456,True
DIXMAANK,L-BFGS-20,3000,1012,2176,2.6120777130126953,True
DIXMAANK,CG,3000,111,192,0.2506082057952881,True
DIXMAANL,BFGS,3000,6644,13414,1651.7502372264862,True
DIXMAANL,L-BFGS-5,3000,276,559,0.7801928520202637,True
DIXMAANL,L-BFGS-10,3000,297,601,0.6472489833831787,True
DIXMAANL,L-BFGS-20,3000,497,1006,1.0582926273345947,True
DIXMAANL,CG,3000,124,222,0.24888253211975098,True
EIGENALS,BFGS,110,99,275,0.09296965599060059,True
EIGENALS,L-BFGS-5,110,1998,18675,3.984549045562744,True
EIGENALS,L-BFGS-10,110,4460,42395,7.682042598724365,True
EIGENALS,L-BFGS-20,110,303,2309,0.4225139617919922,True
EIGENALS,CG,110,679,1088,0.21519923210144043,True
EIGENBLS,BFGS,110,488,1279,0.3109250068664551,True
EIGENBLS,L-BFGS-5,110,1793,11477,2.260089159011841,True
EIGENBLS,L-BFGS-10,110,1105,6773,1.400862216949463,True
EIGENBLS,L-BFGS-20,110,1130,6887,1.3816540241241455,True
EIGENBLS,CG,110,461,701,0.1579113006591797,True
ERRINROS,BFGS,50,260,1031,0.022652626037597656,True
ERRINROS,L-BFGS-5,50,3402,45994,0.8079872131347656,True
ERRINROS,L-BFGS-10,50,877,9793,0.2514610290527344,True
ERRINROS,L-BFGS-20,50,2074,25523,0.8039977550506592,True
ERRINROS,CG,50,6585,12629,0.8793256282806396,True
FLETCBV2,BFGS,100,99,202,0.02675652503967285,True
FLETCBV2,L-BFGS-5,100,172,348,0.024809837341308594,True
FLETCBV2,L-BFGS-10,100,125,254,0.02825164794921875,True
FLETCBV2,L-BFGS-20,100,149,302,0.03227424621582031,True
FLETCBV2,CG,100,197,249,0.0284574031829834,True
FLETCHCR,BFGS,1000,4437,51746,67.93544507026672,True
FLETCHCR,L-BFGS-5,1000,3392,39877,12.565648794174194,True
FLETCHCR,L-BFGS-10,1000,3698,43460,12.397655248641968,True
FLETCHCR,L-BFGS-20,1000,4136,48491,14.21164059638977,True
FLETCHCR,CG,1000,10000,15012,5.189034700393677,False
FMINSRF2,BFGS,1024,229,461,8.882174491882324,True
FMINSRF2,L-BFGS-5,1024,268,538,0.540623664855957,True
FMINSRF2,L-BFGS-10,1024,324,650,0.4367046356201172,True
FMINSRF2,L-BFGS-20,1024,264,531,0.2879641056060791,True
FMINSRF2,CG,1024,1388,1944,1.0026559829711914,True
FMINSURF,BFGS,1024,177,356,7.848865270614624,True
FMINSURF,L-BFGS-5,1024,219,442,0.395510196685791,True
FMINSURF,L-BFGS-10,1024,225,452,0.33907151222229004,True
FMINSURF,L-BFGS-20,1024,205,413,0.25688982009887695,True
FMINSURF,CG,1024,340,477,0.24567723274230957,True
FREUROTH,BFGS,100,917,14109,0.9306013584136963,True
FREUROTH,L-BFGS-5,100,977,14448,0.9670588970184326,True
FREUROTH,L-BFGS-10,100,1301,19531,1.4197499752044678,True
FREUROTH,L-BFGS-20,100,286,3995,0.32439303398132324,True
FREUROTH,CG,100,57,204,0.024834871292114258,False
GENROSE,BFGS,500,1253,6872,5.696804523468018,True
GENROSE,L-BFGS-5,500,10000,158118,24.016368627548218,False
GENROSE,L-BFGS-10,500,10000,162552,25.326515197753906,False
GENROSE,L-BFGS-20,500,10000,161869,30.101130962371826,False
GENROSE,CG,500,1991,2971,0.5744898319244385,True
LIARWHD,BFGS,1000,23,100,0.8448426723480225,True
LIARWHD,L-BFGS-5,1000,19,71,0.10089683532714844,True
LIARWHD,L-BFGS-10,1000,14,51,0.04830503463745117,True
LIARWHD,L-BFGS-20,1000,13,49,0.038982391357421875,True
LIARWHD,CG,1000,16,38,0.035062551498413086,True
MSQRTALS,BFGS,100,138,565,0.13661718368530273,True
MSQRTALS,L-BFGS-5,100,492,2923,0.528423547744751,True
MSQRTALS,L-BFGS-10,100,356,2070,0.33230161666870117,True
MSQRTALS,L-BFGS-20,100,412,2324,0.3559448719024658,True
MSQRTALS,CG,100,351,531,0.08611679077148438,True
MSQRTBLS,BFGS,100,177,660,0.15144705772399902,True
MSQRTBLS,L-BFGS-5,100,504,3025,0.5585324764251709,True
MSQRTBLS,L-BFGS-10,100,414,2408,0.48514699935913086,True
MSQRTBLS,L-BFGS-20,100,338,1878,0.38264966011047363,True
MSQRTBLS,CG,100,512,765,0.16316604614257812,True
NONCVXU2,BFGS,100,133,456,0.04049968719482422,True
NONCVXU2,L-BFGS-5,100,832,3752,0.19729185104370117,True
NONCVXU2,L-BFGS-10,100,704,3353,0.19604015350341797,True
NONCVXU2,L-BFGS-20,100,474,2048,0.1325206756591797,True
NONCVXU2,CG,100,1442,2162,0.1833019256591797,True
NONCVXUN,BFGS,100,118,421,0.03890371322631836,True
NONCVXUN,L-BFGS-5,100,373,1876,0.11339282989501953,True
NONCVXUN,L-BFGS-10,100,348,1776,0.10669445991516113,True
NONCVXUN,L-BFGS-20,100,286,1378,0.09535646438598633,True
NONCVXUN,CG,100,524,799,0.07131767272949219,True
NONDQUAR,BFGS,1000,1049,2138,39.175148248672485,True
NONDQUAR,L-BFGS-5,1000,1856,3852,1.0729889869689941,True
NONDQUAR,L-BFGS-10,1000,1754,3592,0.7494730949401855,True
NONDQUAR,L-BFGS-20,1000,1914,3877,0.8959136009216309,True
NONDQUAR,CG,1000,850,1608,0.3433663845062256,True
NONSCOMP,BFGS,1000,823,2397,31.1023108959198,True
NONSCOMP,L-BFGS-5,1000,4843,39806,9.213006258010864,True
NONSCOMP,L-BFGS-10,1000,4970,36390,7.968721151351929,True
NONSCOMP,L-BFGS-20,1000,2173,10720,2.580364942550659,True
NONSCOMP,CG,1000,1188,1996,0.5278835296630859,True
TOINTQOR,BFGS,50,43,172,0.0032329559326171875,True
TOINTQOR,L-BFGS-5,50,86,463,0.010787010192871094,True
TOINTQOR,L-BFGS-10,50,76,390,0.010467052459716797,True
TOINTQOR,L-BFGS-20,50,77,364,0.010716915130615234,True
TOINTQOR,CG,50,42,75,0.003565549850463867,True
TRIDIA,BFGS,100,110,1007,0.05448317527770996,True
TRIDIA,L-BFGS-5,100,2324,26394,0.8486654758453369,True
TRIDIA,L-BFGS-10,100,2673,30176,0.8503766059875488,True
TRIDIA,L-BFGS-20,100,2310,26020,0.8712368011474609,True
TRIDIA,CG,100,353,541,0.03974604606628418,True
WOODS,BFGS,1000,1531,9365,53.43605709075928,True
WOODS,L-BFGS-5,1000,38,228,0.14001822471618652,True
WOODS,L-BFGS-10,1000,28,119,0.06146955490112305,True
WOODS,L-BFGS-20,1000,31,104,0.05344414710998535,True
WOODS,CG,1000,42,92,0.05068373680114746,True
