Problem,Method,Dimension,Iterations,Function Evals,Time (s),Success
Bohachevsky1,BFGS,2,11,33,0.0,True
Bohachevsky1,L-BFGS-5,2,11,34,0.0015630722045898438,True
Bohachevsky1,L-BFGS-10,2,11,33,0.0,True
Bohachevsky1,L-BFGS-20,2,11,33,0.0,True
Bohachevsky1,CG,2,11,26,0.0025768280029296875,True
Bohachevsky2,BFGS,2,11,33,0.00019216537475585938,True
Bohachevsky2,L-BFGS-5,2,13,38,0.0,True
Bohachevsky2,L-BFGS-10,2,11,33,0.0,True
Bohachevsky2,L-BFGS-20,2,11,33,0.0,True
Bohachevsky2,CG,2,9,26,0.0,True
Bohachevsky3,BFGS,2,8,26,0.0,True
Bohachevsky3,L-BFGS-5,2,9,28,0.0009834766387939453,True
Bohachevsky3,L-BFGS-10,2,8,26,0.0,True
Bohachevsky3,L-BFGS-20,2,8,26,0.0010068416595458984,True
Bohachevsky3,CG,2,8,28,0.000997781753540039,True
Booth,BFGS,2,4,14,0.0,True
Booth,L-BFGS-5,2,4,14,0.0016179084777832031,True
Booth,L-BFGS-10,2,4,14,0.0,True
Booth,L-BFGS-20,2,4,14,0.0,True
Booth,CG,2,2,5,0.0,True
Branin,BFGS,2,10,29,0.0012276172637939453,True
Branin,L-BFGS-5,2,9,27,0.0,True
Branin,L-BFGS-10,2,10,29,0.0010623931884765625,True
Branin,L-BFGS-20,2,10,29,0.0,True
Branin,CG,2,9,20,0.0,True
Colville,BFGS,4,63,178,0.002564668655395508,True
Colville,L-BFGS-5,4,72,412,0.004060506820678711,True
Colville,L-BFGS-10,4,61,232,0.004300355911254883,True
Colville,L-BFGS-20,4,65,189,0.00410914421081543,True
Colville,CG,4,154,303,0.015980958938598633,True
Goldstein_Price,BFGS,2,18,66,0.0016200542449951172,True
Goldstein_Price,L-BFGS-5,2,14,73,0.002023458480834961,True
Goldstein_Price,L-BFGS-10,2,17,70,0.0023941993713378906,True
Goldstein_Price,L-BFGS-20,2,18,66,0.0,True
Goldstein_Price,CG,2,12,38,0.002091646194458008,True
Hump,BFGS,2,7,18,0.00099945068359375,True
Hump,L-BFGS-5,2,8,20,0.0,True
Hump,L-BFGS-10,2,7,18,0.0,True
Hump,L-BFGS-20,2,7,18,0.0010294914245605469,True
Hump,CG,2,8,17,0.0009870529174804688,True
Matyas,BFGS,2,5,13,0.0,True
Matyas,L-BFGS-5,2,5,13,0.0,True
Matyas,L-BFGS-10,2,5,13,0.0,True
Matyas,L-BFGS-20,2,5,13,0.0,True
Matyas,CG,2,8,22,0.003551483154296875,True
Michalewicz,BFGS,10,18,97,0.0061228275299072266,True
Michalewicz,L-BFGS-5,10,92,653,0.02263355255126953,True
Michalewicz,L-BFGS-10,10,26,141,0.008237600326538086,True
